Título	Autores	Áreas de Pesquisa	Tipo	Meio de Publicação	Data	Google Scholar	Link	DOI
Investigating Student Dropout Risk in Higher Education through Machine Learning	Pedro Mian Parra, Muriel de Souza Godoi, Francisco Carlos Monteiro Souza, Alinne C Correa Souza, Edgar de Souza Vismara, Rafael Gomes Mantovani	Aprendizado de Máquina, Informática na Educação, Reconhecimento de Padrões	Anais	Simpósio Brasileiro de Informática na Educação (SBIE)	2024-11-04	https://scholar.google.com.br/citations?view_op=view_citation&hl=pt-PT&user=lRFTBFgAAAAJ&sortby=pubdate&citation_for_view=lRFTBFgAAAAJ:j8SEvjWlNXcC	https://sol.sbc.org.br/index.php/sbie/article/view/31464	10.5753/sbie.2024.244900
Automatic Area Estimation of Mice Wound Images	Bruno Uhlmann Marcato, Camila Rodrigues Ferraz, Waldiceu Aparecido Verri Jr, Rubia Casagrande, Daniel Prado Campos, José Luis Seixas Junior, Rafael Gomes Mantovani	Processamento de Imagens, Aprendizado de Máquina, Bioinformática, Engenharia Biomédica	Anais	Symposium on Knowledge Discovery, Mining and Learning (KDMiLe) 	2024-11-17	https://scholar.google.com.br/citations?view_op=view_citation&hl=pt-PT&user=lRFTBFgAAAAJ&sortby=pubdate&citation_for_view=lRFTBFgAAAAJ:evX43VCCuoAC	https://sol.sbc.org.br/index.php/kdmile/article/view/30941	10.5753/kdmile.2024.241973
A Review on the Recent use of Machine Learning for Gesture Recognition using Myoelectric Signals	Gabriel Molina de Lima, Daniel Prado Campos, Rafael Gomes Mantovani	Processamento de Sinais, Aprendizado de Máquina, Reconhecimento de Padrões, Engenharia Biomédica	Anais	Encontro Nacional de Inteligência Artificial e Computacional (ENIAC)	2024-11-17	https://scholar.google.com.br/citations?view_op=view_citation&hl=pt-PT&user=lRFTBFgAAAAJ&sortby=pubdate&citation_for_view=lRFTBFgAAAAJ:uJ-U7cs_P_0C	https://sol.sbc.org.br/index.php/eniac/article/view/33792	10.5753/eniac.2024.245071
Music Genre Recognition with Handcrafted Audio Features	André Luís de Oliveira, Luiz Fernando Carvalho, Daniel Prado Campos, Rafael Gomes Mantovani	Processamento de Sinais, Aprendizado de Máquina, Reconhecimento de Padrões	Anais	Encontro Nacional de Inteligência Artificial e Computacional (ENIAC)	2024-11-17	https://scholar.google.com.br/citations?view_op=view_citation&hl=pt-PT&user=lRFTBFgAAAAJ&sortby=pubdate&citation_for_view=lRFTBFgAAAAJ:VLnqNzywnoUC	https://sol.sbc.org.br/index.php/eniac/article/view/33823	10.5753/eniac.2024.245072
Novel applications of item response theory for analysing data set complexity and benchmark selection	João Luiz Junho Pereira, Alfredo Antonio Alencar Exposito de Queiroz, Telmo de Menezes e Silva Filho, Ana Carolina Lorena, Rafael Gomes Mantovani, Gisele Lobo Pappa, Ricardo Bastos Cavalcante Prudêncio	Aprendizado de Máquina, Reconhecimento de Padrões	Artigo	Machine Learning	2025-08-29	https://scholar.google.com.br/citations?view_op=view_citation&hl=pt-PT&user=lRFTBFgAAAAJ&sortby=pubdate&citation_for_view=lRFTBFgAAAAJ:t7zJ5fGR-2UC	https://link.springer.com/article/10.1007/s10994-025-06873-3	10.1007/s10994-025-06873-3
Near real-time security system applied to SDN environments in IoT networks using convolutional neural network	Marcos VO de Assis, Luiz F Carvalho, Joel JPC Rodrigues, Jaime Lloret, Mario L Proença Jr	Segurança da Informação, Aprendizado de Máquina, Redes de Computadores	Artigo	Computers & Electrical Engineering	2020-09-01	https://scholar.google.com.br/citations?view_op=view_citation&hl=pt-PT&user=bfLvZN4AAAAJ&sortby=pubdate&citation_for_view=bfLvZN4AAAAJ:kNdYIx-mwKoC	https://www.sciencedirect.com/science/article/abs/pii/S0045790620305930	10.1016/j.compeleceng.2020.106738
A GRU deep learning system against attacks in software defined networks	Marcos VO Assis, Luiz F Carvalho, Jaime Lloret, Mario L Proença Jr	Segurança da Informação, Aprendizado de Máquina, Redes de Computadores	Artigo	Journal of Network and Computer Applications	2021-03-01	https://scholar.google.com.br/citations?view_op=view_citation&hl=pt-PT&user=bfLvZN4AAAAJ&sortby=pubdate&citation_for_view=bfLvZN4AAAAJ:Zph67rFs4hoC	https://www.sciencedirect.com/science/article/abs/pii/S1084804520304008	10.1016/j.jnca.2020.102942
Adversarial Deep Learning approach detection and defense against DDoS attacks in SDN environments	Matheus P Novaes, Luiz F Carvalho, Jaime Lloret, Mario Lemes Proença Jr	Segurança da Informação, Aprendizado de Máquina, Redes de Computadores	Artigo	Future Generation Computer Systems	2021-12-01	https://scholar.google.com.br/citations?view_op=view_citation&hl=pt-PT&user=bfLvZN4AAAAJ&sortby=pubdate&citation_for_view=bfLvZN4AAAAJ:KlAtU1dfN6UC	https://www.sciencedirect.com/science/article/abs/pii/S0167739X21002429	10.1016/j.future.2021.06.047
Unsupervised online anomaly detection in Software Defined Network environments	Gustavo Frigo Scaranti, Luiz Fernando Carvalho, Sylvio Barbon Junior, Jaime Lloret, Mario Lemes Proença Jr	Segurança da Informação, Aprendizado de Máquina, Redes de Computadores	Artigo	Expert Systems with Applications	2022-04-01	https://scholar.google.com.br/citations?view_op=view_citation&hl=pt-PT&user=bfLvZN4AAAAJ&sortby=pubdate&citation_for_view=bfLvZN4AAAAJ:ULOm3_A8WrAC	https://www.sciencedirect.com/science/article/abs/pii/S0957417421015384	10.1016/j.eswa.2021.116225
A gated recurrent unit deep learning model to detect and mitigate distributed denial of service and portscan attacks	Daniel M Brandao Lent, Matheus P Novaes, Luiz F Carvalho, Jaime Lloret, Joel JPC Rodrigues, Mario Lemes Proença	Segurança da Informação, Aprendizado de Máquina, Processamento de Sinais, Redes de Computadores	Artigo	IEEE Access	2022-07-12	https://scholar.google.com.br/citations?view_op=view_citation&hl=pt-PT&user=bfLvZN4AAAAJ&sortby=pubdate&citation_for_view=bfLvZN4AAAAJ:YOwf2qJgpHMC	https://ieeexplore.ieee.org/abstract/document/9826720	10.1109/ACCESS.2022.3190008
An unsupervised generative adversarial network system to detect ddos attacks in sdn	Daniel M Brandão Lent, Vitor G Da Silva Ruffo, Luiz F Carvalho, Jaime Lloret, Joel JPC Rodrigues, Mario Lemes Proença	Processamento de Sinais, Aprendizado de Máquina, Segurança da Informação, Redes de Computadores	Artigo	IEEE Access	2024-05-16	https://scholar.google.com.br/citations?view_op=view_citation&hl=pt-PT&user=bfLvZN4AAAAJ&sortby=pubdate&citation_for_view=bfLvZN4AAAAJ:mVmsd5A6BfQC	https://ieeexplore.ieee.org/abstract/document/10531741	10.1109/ACCESS.2024.3402069
Anomaly and intrusion detection using deep learning for software-defined networks: A survey	Vitor Gabriel da Silva Ruffo, Daniel Matheus Brandão Lent, Mateus Komarchesqui, Vinícius Ferreira Schiavon, Marcos Vinicius Oliveira de Assis, Luiz Fernando Carvalho, Mario Lemes Proença Jr	Segurança da Informação, Aprendizado de Máquina, Redes de Computadores	Artigo	Expert Systems with Applications	2024-08-05	https://scholar.google.com.br/citations?view_op=view_citation&hl=pt-PT&user=bfLvZN4AAAAJ&sortby=pubdate&citation_for_view=bfLvZN4AAAAJ:M3ejUd6NZC8C	https://www.sciencedirect.com/science/article/abs/pii/S0957417424018499	10.1016/j.eswa.2024.124982
Generative adversarial network models for anomaly detection in software-defined networks	Alexandro Marcelo Zacaron, Daniel Matheus Brandão Lent, Vitor Gabriel da Silva Ruffo, Luiz Fernando Carvalho, Mario Lemes Proença Jr	Segurança da Informação, Aprendizado de Máquina, Redes de Computadores	Artigo	Journal of Network and Systems Management	2024-09-12	https://scholar.google.com.br/citations?view_op=view_citation&hl=pt-PT&user=bfLvZN4AAAAJ&sortby=pubdate&citation_for_view=bfLvZN4AAAAJ:4DMP91E08xMC	https://link.springer.com/article/10.1007/s10922-024-09867-z	s10922-024-09867-z
 Unsupervised DDoS Detection Using Entropy Features and f-AnoGAN in Software-Defined Networks	Vitor Gabriel Da Silva Ruffo, Luiz Fernando Carvalho, Jaime Lloret, Mario Lemes Proenca	Segurança da Informação, Aprendizado de Máquina, Redes de Computadores	Anais	11th International Conference on Software Defined Systems (SDS)	2024-12-09	https://scholar.google.com.br/citations?view_op=view_citation&hl=pt-PT&user=bfLvZN4AAAAJ&sortby=pubdate&citation_for_view=bfLvZN4AAAAJ:4TOpqqG69KYC	https://ieeexplore.ieee.org/abstract/document/10883901	10.1109/SDS64317.2024.10883901
Explainable AI Feature Selection in Generative Adversarial Networks System aiming to detect DDoS Attacks	Mateus Komarchesqui, Daniel Matheus Brandão Lent, Vitor Gabriel Da Silva Ruffo, Luiz Fernando Carvalho, Jaime Lloret, Mario Lemes Proenca	Segurança da Informação, Aprendizado de Máquina, Redes de Computadores	Anais	11th International Conference on Software Defined Systems (SDS)	2024-12-09	https://scholar.google.com.br/citations?view_op=view_citation&hl=pt-PT&user=bfLvZN4AAAAJ&sortby=pubdate&citation_for_view=bfLvZN4AAAAJ:qxL8FJ1GzNcC	https://ieeexplore.ieee.org/abstract/document/10883903	10.1109/SDS64317.2024.10883903
Generative adversarial networks to detect intrusion and anomaly in IP flow-based networks	Vitor G da Silva Ruffo, Daniel M Brandão Lent, Luiz F Carvalho, Jaime Lloret, Mario Lemes Proença Jr	Segurança da Informação, Aprendizado de Máquina, Redes de Computadores	Artigo	Future Generation Computer Systems 	2025-02-01	https://scholar.google.com.br/citations?view_op=view_citation&hl=pt-PT&user=bfLvZN4AAAAJ&sortby=pubdate&citation_for_view=bfLvZN4AAAAJ:Wp0gIr-vW9MC	https://www.sciencedirect.com/science/article/abs/pii/S0167739X24004953	10.1016/j.future.2024.107531
Thermal Variations in Osteoporosis After Aclasta® Administration: Case Study	Wally auf der Strasse, Daniel Prado Campos, Celso Júnio Aguiar Mendonça, Joaquim Mendes, Jamil Faissal Soni, Percy Nohama	Engenharia Biomédica, Processamento de Imagens, Reconhecimento de Padrões, Bioinformática	Artigo	International Journal of Online and Biomedical Engineering (iJOE)	2020-09-18	https://scholar.google.com.br/citations?view_op=view_citation&hl=pt-PT&user=61qEu1AAAAAJ&cstart=20&pagesize=80&sortby=pubdate&citation_for_view=61qEu1AAAAAJ:ZeXyd9-uunAC	https://online-journals.org/index.php/i-joe/article/view/14635	10.3991/ijoe.v16i10.14635
Analysis of influence of segmentation, features, and classification in sEMG processing: A case study of recognition of brazilian sign language alphabet	José Jair Alves Mendes Junior, Melissa La Banca Freitas, Daniel Prado Campos, Felipe Adalberto Farinelli, Sergio Luiz Stevan Jr, Sérgio Francisco Pichorim	Engenharia Biomédica, Processamento de Sinais, Reconhecimento de Padrões, Aprendizado de Máquina	Artigo	Sensors	2020-08-05	https://scholar.google.com.br/citations?view_op=view_citation&hl=pt-PT&user=61qEu1AAAAAJ&cstart=20&pagesize=80&sortby=pubdate&citation_for_view=61qEu1AAAAAJ:_FxGoFyzp5QC	https://www.mdpi.com/1424-8220/20/16/4359	10.3390/s20164359
Impact of sEMG Time-series Segmentation Parameters on the Recognition of Hand Gestures	Carlos Eduardo Pontim, José Jair ALves Mendes Júnior, Hygor Vinícius Pereira Martins, Daniel Prado Campos	Engenharia Biomédica, Processamento de Sinais, Reconhecimento de Padrões, Aprendizado de Máquina	Artigo	Journal of Applied Instrumentation and Control	2020-10-15	https://scholar.google.com.br/citations?view_op=view_citation&hl=pt-PT&user=61qEu1AAAAAJ&cstart=20&pagesize=80&sortby=pubdate&citation_for_view=61qEu1AAAAAJ:YOwf2qJgpHMC	https://periodicos.utfpr.edu.br/bjic/article/view/11313	10.3895/jaic.v8n1.11313
Recognition of Facial Patterns Using Surface Electromyography—A Preliminary Study	MR Lima, José Jair Alves Mendes Júnior, Daniel Prado de Campos 	Engenharia Biomédica, Processamento de Sinais, Reconhecimento de Padrões, Aprendizado de Máquina	Anais	XXVII Brazilian Congress on Biomedical Engineering	2020-10-26	https://scholar.google.com.br/citations?view_op=view_citation&hl=pt-PT&user=61qEu1AAAAAJ&cstart=20&pagesize=80&sortby=pubdate&citation_for_view=61qEu1AAAAAJ:qxL8FJ1GzNcC	https://link.springer.com/chapter/10.1007/978-3-030-70601-2_300	10.1007/978-3-030-70601-2_300
Development of bionic hand using myoelectric control for transradial amputees	Carlos Eduardo Pontim, MG Alves, José Jair Alves Mendes Júnior, Daniel Prado de Campos, JAP Setti	Engenharia Biomédica, Processamento de Sinais, Reconhecimento de Padrões	Anais	XXVII Brazilian Congress on Biomedical Engineering	2020-10-26	https://scholar.google.com.br/citations?view_op=view_citation&hl=pt-PT&user=61qEu1AAAAAJ&cstart=20&pagesize=80&sortby=pubdate&citation_for_view=61qEu1AAAAAJ:aqlVkmm33-oC	https://link.springer.com/chapter/10.1007/978-3-030-70601-2_213	10.1007/978-3-030-70601-2_213
Design and Performance Evaluation of a Custom 3D Printed Thumb Orthosis to Reduce Occupational Risk in an Automotive Assembly Line	H Toso, Daniel Prado de Campos, HVP Martins, R Wenke, M Salatiel, JAP Setti, G Balbinotti 	Engenharia Biomédica, Processamento de Sinais, Reconhecimento de Padrões	Anais	XXVII Brazilian Congress on Biomedical Engineering	2020-10-26	https://scholar.google.com.br/citations?view_op=view_citation&hl=pt-PT&user=61qEu1AAAAAJ&cstart=20&pagesize=80&sortby=pubdate&citation_for_view=61qEu1AAAAAJ:4DMP91E08xMC	https://link.springer.com/chapter/10.1007/978-3-030-70601-2_190	10.1007/978-3-030-70601-2_190
Perspectives on EMG-Controlled Prosthetic Robotic Hands: Trends and Challenges	Carlos Eduardo Pontim, Arturo Vaine, Hygor Vinícius Pereira Martins, Kevin Christlieb Deessuy, Eduardo Felipe Ardigo Braga, José Jair Alves Mendes Júnior, Daniel Prado de Campos	Robótica, Engenharia Biomédica, Processamento de Sinais, Aprendizado de Máquina, Reconhecimento de Padrões, Computação Bioinspirada	Anais	XXVII Brazilian Congress on Biomedical Engineering	2020-10-26	https://scholar.google.com.br/citations?view_op=view_citation&hl=pt-PT&user=61qEu1AAAAAJ&cstart=20&pagesize=80&sortby=pubdate&citation_for_view=61qEu1AAAAAJ:Wp0gIr-vW9MC	https://link.springer.com/chapter/10.1007/978-3-030-70601-2_205	10.1007/978-3-030-70601-2_205
 Channel Influence in Armband Approach for Gesture Recognition by sEMG Signals	JJA Mendes Jr, MLB Freitas, Daniel Prado de Campos, CE Pontim, SL Stevan Jr, SF Pichorim 	Processamento de Sinais, Aprendizado de Máquina, Reconhecimento de Padrões, Computação Bioinspirada, Engenharia Biomédica	Anais	XXVII Brazilian Congress on Biomedical Engineering	2020-10-26	https://scholar.google.com.br/citations?view_op=view_citation&hl=pt-PT&user=61qEu1AAAAAJ&cstart=20&pagesize=80&sortby=pubdate&citation_for_view=61qEu1AAAAAJ:mVmsd5A6BfQC	https://link.springer.com/chapter/10.1007/978-3-030-70601-2_234	10.1007/978-3-030-70601-2_234
