Data	Descrição	Membros Envolvidos	Link externo (Opcional)
2025	Premiação dos Melhores artigos em Engenharia de Computação/Software do SICITE 2025	Matheus Bonfim da Rocha, Daniel Prado de Campos, Rafael Gome Mantovani	
2024	Premiação dos Melhores artigos em Engenharia de Computação/Software do SICITE 2024	Rodrigo Badega, Daniel Prado de Campos	
2024	Best paper award do 12th Symposium on Knowledge Discovery, Mining and Learning (KDMiLe 2024), Sociedade Brasileira de Computação.	Bruno Ulhmann Marcato, Daniel Prado de Campos, Rafael Gomes Mantovani	
2021	IDEAL2021 Best Paper Awards, 22nd International Conference on Intelligent Data Engineering and Automated Learning (IDEAL).	Rafael Gomes Mantovani	
2021	Melhor artigo do Congresso de Ciência e Tecnologia da UTFPR-DV (CCT2021), Universidade Tecnológica Federal do Paraná (UTFPR), campus Dois Vizinhos.	Rafael Gomes Mantovani	
