Dados Gerais			Associação		Redes Sociais e de Contato
Nome	Empresa/Instituição	Imagem	Status	Tipo	Lattes
Muriel de Souza Godoi	UTFPR - Campus Apucarana	http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4260428E0	Ativo	Interno	http://lattes.cnpq.br/0999074599659982
Edgar de Souza Vismara	UTFPR - Campus Dois Vizinhos	http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4261435H9	Ativo	Externo	http://lattes.cnpq.br/7926310174888570
José Luís Seixas Junior	UNESPAR - Campus Apucarana	http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4221013Y6	Ativo	Externo	http://lattes.cnpq.br/5975380199044017
Ricardo Cerri	USP - São Carlos	http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4284756U0	Ativo	Externo	http://lattes.cnpq.br/6266519868438512
Francisco Carlos Monteiro Souza	UTFPR - Campus Dois Vizinhos	http://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4485089E7	Ativo	Externo	http://lattes.cnpq.br/0057958225738520
